game_id,competition_id_x,season,round,date_x,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,appearance_id,player_id_x,date_y,player_name_x,competition_id_y,yellow_cards,red_cards,goals,assists,minutes_played,name,last_season,current_club_id,player_code,country_of_birth,date_of_birth,sub_position,position_x,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name,game_lineups_id,type_x,number,player_name_y,team_captain,position_y,game_event_id,date,minute,type_y,player_id_y,description,player_in_id,player_assist_id
2222782,RU1,2012,29. Matchday,2013-05-17,3,2,11.0,14.0,Rustem Khuzin,Miodrag Bozovic,Zvezda,16100.0,Aleksey Nikolaev,,,Amkar Perm,FK Rostov,0 days 03:02:00,domestic_league,2222782_104203,104203,2013-05-17,Eugene Starikov,RU1,0,0,2,0,35,Eugene Starikov,2015,6992,eugene-starikov,UdSSR,1988-11-17,Centre-Forward,Attack,right,175.0,,500000.0,,Prosport,,,,,,,14f0145bb64400e5cdf7152d7061eb33,2013-05-17,90.0,Goals,104203.0,", Right-footed shot, 2. Goal of the Season Assist: , Pass, 1. Assist of the Season",,98539.0
2624315,UKR1,2015,20. Matchday,2016-04-03,1,1,10.0,12.0,Vitaliy Kvartsyanyi,Oleksandr Babych,Stadion Avangard,3100.0,Kateryna Monzul,,,Volyn Lutsk,ZAO FK Chornomorets Odessa,0 days 01:01:00,domestic_league,2624315_104203,104203,2016-04-03,Eugene Starikov,UKR1,0,0,0,0,35,Eugene Starikov,2015,6992,eugene-starikov,UdSSR,1988-11-17,Centre-Forward,Attack,right,175.0,,500000.0,,Prosport,,,,,,,,,,,,,,
2224572,DK1,2012,3. Matchday,2012-07-28,1,2,12.0,1.0,Jess Thorup,Lars Sondergaard,Blue Water Arena,5345.0,Michael Svendsen,,,Esbjerg fB,Sonderjyske Fc,0 days 01:02:00,domestic_league,2224572_161244,161244,2012-07-28,Conor O'Brien,DK1,0,0,0,0,90,Conor O'Brien,2016,2414,conor-obrien,United States,1988-10-20,Defensive Midfield,Midfield,right,177.0,,750000.0,,,,,,,,,,,,,,,,
2224732,DK1,2012,1. Matchday,2012-07-14,6,1,1.0,12.0,Lars Sondergaard,Colin Todd,Sydbank Park,2995.0,Claus Bo Larsen,,,Sonderjyske Fc,Randers Fodbold Club,0 days 06:01:00,domestic_league,2224732_161244,161244,2012-07-14,Conor O'Brien,DK1,0,0,1,0,90,Conor O'Brien,2016,2414,conor-obrien,United States,1988-10-20,Defensive Midfield,Midfield,right,177.0,,750000.0,,,,,,,,,d9f02a9d767f319e58909ba1e1de6d23,2012-07-14,50.0,Goals,161244.0,", Long distance kick, 1. Goal of the Season Assist:",,
2224665,DK1,2012,22. Matchday,2013-03-11,1,1,7.0,2.0,Glen Riddersholm,Kasper Hjulmand,MCH Arena,3271.0,Michael Tykgaard,,,Fodbold Club Midtjylland,Fodbold Club Nords  Aalnd,0 days 01:01:00,domestic_league,2224665_161244,161244,2013-03-11,Conor O'Brien,DK1,0,0,0,0,90,Conor O'Brien,2016,2414,conor-obrien,United States,1988-10-20,Defensive Midfield,Midfield,right,177.0,,750000.0,,,,,,,,,,,,,,,,
2697662,DK1,2016,22. Matchday,2017-02-18,1,0,8.0,9.0,Peter Rensen,Bo Henriksen,MASCOT PARK,3764.0,Jens Maae,,,Silkeborg Idrra Sforening,AC Horsens,0 days 01:00:00,domestic_league,2697662_161244,161244,2017-02-18,Conor O'Brien,DK1,0,0,0,0,23,Conor O'Brien,2016,2414,conor-obrien,United States,1988-10-20,Defensive Midfield,Midfield,right,177.0,,750000.0,,,,,,,,,,,,,,,,
2224676,DK1,2012,24. Matchday,2013-03-29,4,2,2.0,6.0,Kasper Hjulmand,Peter Rensen,Right to Dream Park,4212.0,Anders Poulsen,,,Football Club Nords,Aarhus Gymnastik Forening,0 days 04:02:00,domestic_league,2224676_161244,161244,2013-03-29,Conor O'Brien,DK1,0,0,0,0,90,Conor O'Brien,2016,2414,conor-obrien,United States,1988-10-20,Defensive Midfield,Midfield,right,177.0,,750000.0,,,,,,,,,,,,,,,,
2697560,DK1,2016,9. Matchday,2016-09-18,0,2,6.0,1.0,Bo Henriksen,Stale Solbakken,Nordstern Arena Horsens,6095.0,Peter Kjaersgaard,,,AC Horsens,Football Club Ka Benhavn,0 days 00:02:00,domestic_league,2697560_161244,161244,2016-09-18,Conor O'Brien,DK1,0,0,0,0,90,Conor O'Brien,2016,2414,conor-obrien,United States,1988-10-20,Defensive Midfield,Midfield,right,177.0,,750000.0,,,,,,,,,,,,,,,,
2224671,DK1,2012,32. Matchday,2013-05-16,4,0,10.0,2.0,Auri Skarbalius,Kasper Hjulmand,Brondby Stadium,21186.0,Mads-Kristoffer Kristoffersen,,,Brondby IF,Fodbold Club Nords  Aalnd,0 days 04:00:00,domestic_league,2224671_161244,161244,2013-05-16,Conor O'Brien,DK1,0,0,0,0,45,Conor O'Brien,2016,2414,conor-obrien,United States,1988-10-20,Defensive Midfield,Midfield,right,177.0,,750000.0,,,,,,,,,,,,,,,,
2224698,DK1,2012,28. Matchday,2013-04-21,0,0,3.0,2.0,Colin Todd,Kasper Hjulmand,Cepheus Park Randers,5787.0,Anders Poulsen,,,Randers Fodbold Club,Fodbold Club Nords  Aalnd,0 days 00:00:00,domestic_league,2224698_161244,161244,2013-04-21,Conor O'Brien,DK1,1,0,0,0,67,Conor O'Brien,2016,2414,conor-obrien,United States,1988-10-20,Defensive Midfield,Midfield,right,177.0,,750000.0,,,,,,,,,d0ec75997cbd3d9e17d8f9e66ad34cb0,2013-04-21,63.0,Cards,161244.0,"3. Yellow card  , Foul",,
